Date,Time,Well ID,Start_Time,Test Month,Test Day,Test Year,Test Hour,Test Minute,Test Duration Seconds,Test Duration Input,Test Elapsed Time,Test Time Remaining,Low Flow Select,1" Vortex Meter Flow Rate BPD,Water Meter Flow Rate BPD,Level Control Output,Level,Pressure,Quality,1/2" Vortex Meter Flow Rate BPD,Steam Rate BPD,Temperature,Vapor BVPD ,Vapor Rate ACF/M,Low Flow Water Input,1" Meter Water BBL Day,1" Meter Water BBL Test,Average Test Level Output,Average Test Level,Test Press.,Test Quality,1/2" Meter Water BBL Day,1/2" Meter Water BBL Test,Steam BSPD ,Steam BBL,SMT.LIVE_TEST.Tag1,Test Temp.,2" Meter ACF/D,2" Meter ACF,Water BBL Day,Water BBL Test
2014/05/19,00:00:00,636N-20,,5,18,2014,18,39,25,1440,320,1120,Normal Test,0.000,0.000,0.0,30.01,436.0,100.00,0.000,446.910,453.35,447.728,107.756,0.00,0.000,0.000,0.0,31.52,502.53,100.00,0.000,0.000,530.140,117.048,0,467.60,110.818,+BIG,0.000,0.000
2014/05/19,00:00:05,636N-20,,5,18,2014,18,39,25,1440,320,1120,Normal Test,0.000,0.000,0.0,30.23,436.0,100.00,0.000,446.201,453.59,445.384,107.585,0.00,0.000,0.000,0.0,31.52,502.51,100.00,0.000,0.000,530.122,117.079,0,467.60,110.817,+BIG,0.000,0.000
2014/05/19,00:00:10,636N-20,,5,18,2014,18,39,25,1440,320,1120,Normal Test,0.000,0.000,0.0,30.23,436.8,100.00,0.000,446.219,454.31,446.219,107.393,0.00,0.000,0.000,0.0,31.52,502.49,100.00,0.000,0.000,530.100,117.100,0,467.59,110.817,+BIG,0.000,0.000
2014/05/19,00:00:15,636N-20,,5,18,2014,18,39,25,1440,320,1120,Normal Test,0.000,0.000,0.0,30.49,437.6,100.00,0.000,447.745,454.07,447.745,107.564,0.00,0.000,0.000,0.0,31.52,502.48,100.00,0.000,0.000,530.078,117.126,0,467.59,110.816,+BIG,0.000,0.000
2014/05/19,00:00:20,636N-20,,5,18,2014,18,39,25,1440,320,1120,Normal Test,0.000,0.000,0.0,30.03,436.8,100.00,0.000,446.130,454.31,445.315,107.308,0.00,0.000,0.000,0.0,31.52,502.46,100.00,0.000,0.000,530.056,117.151,0,467.58,110.815,+BIG,0.000,0.000
2014/05/19,00:00:25,636N-20,,5,18,2014,18,39,25,1440,320,1120,Normal Test,0.000,0.000,0.0,30.44,437.6,100.00,0.000,449.592,454.07,449.592,108.205,0.00,0.000,0.000,0.0,31.52,502.45,100.00,0.000,0.000,530.039,117.177,0,467.58,110.814,+BIG,0.000,0.000
2014/05/19,00:00:30,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.44,436.8,100.00,0.000,447.639,454.79,447.639,107.735,0.00,0.000,0.000,0.0,31.52,502.42,100.00,0.000,0.000,530.013,117.203,0,467.58,110.813,+BIG,0.000,0.000
2014/05/19,00:00:35,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.06,437.6,100.00,0.000,448.012,454.07,447.195,107.628,0.00,0.000,0.000,0.0,31.52,502.41,100.00,0.000,0.000,529.991,117.224,0,467.57,110.812,+BIG,0.000,0.000
2014/05/19,00:00:40,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.48,437.6,100.00,0.000,448.190,453.35,448.457,107.671,0.00,0.000,0.000,0.0,31.52,502.39,100.00,0.000,0.000,529.970,117.255,0,467.57,110.811,+BIG,0.000,0.000
2014/05/19,00:00:45,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.55,438.4,100.00,0.000,449.503,453.35,451.610,108.184,0.00,0.000,0.000,0.0,31.52,502.37,100.00,0.000,0.000,529.948,117.281,0,467.57,110.811,+BIG,0.000,0.000
2014/05/19,00:00:50,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.36,437.6,100.00,0.000,450.701,453.35,450.344,108.077,0.00,0.000,0.000,0.0,31.52,502.36,100.00,0.000,0.000,529.930,117.307,0,467.56,110.810,+BIG,0.000,0.000
2014/05/19,00:00:55,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,29.97,438.4,100.00,0.000,445.443,453.35,445.443,106.880,0.00,0.000,0.000,0.0,31.52,502.34,100.00,0.000,0.000,529.909,117.333,0,467.56,110.809,+BIG,0.000,0.000
2014/05/19,00:01:00,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.37,438.4,100.00,0.000,447.745,454.07,450.611,107.564,0.00,0.000,0.000,0.0,31.52,502.32,100.00,0.000,0.000,529.884,117.353,0,467.56,110.808,+BIG,0.000,0.000
2014/05/19,00:01:05,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.88,437.6,100.00,0.000,448.279,454.31,448.724,107.692,0.00,0.000,0.000,0.0,31.52,502.31,100.00,0.000,0.000,529.862,117.379,0,467.55,110.807,+BIG,0.000,0.000
2014/05/19,00:01:10,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.41,437.6,100.00,0.000,446.289,453.11,447.106,107.564,0.00,0.000,0.000,0.0,31.52,502.29,100.00,0.000,0.000,529.841,117.410,0,467.55,110.806,+BIG,0.000,0.000
2014/05/19,00:01:15,636N-20,,5,18,2014,18,39,25,1440,321,1119,Normal Test,0.000,0.000,0.0,30.55,437.6,100.00,0.000,450.790,454.55,450.790,108.098,0.00,0.000,0.000,0.0,31.52,502.28,100.00,0.000,0.000,529.824,117.436,0,467.55,110.806,+BIG,0.000,0.000
